frame,t_s,team_in_possession,ball_third
819,32.76,1.0,defensive
820,32.8,1.0,defensive
821,32.84,1.0,defensive
822,32.88,1.0,defensive
823,32.92,1.0,defensive
824,32.96,1.0,defensive
825,33.0,1.0,defensive
826,33.04,1.0,defensive
827,33.08,1.0,defensive
828,33.12,1.0,defensive
829,33.16,1.0,defensive
830,33.2,1.0,defensive
831,33.24,1.0,defensive
832,33.28,1.0,defensive
833,33.32,1.0,defensive
834,33.36,1.0,defensive
835,33.4,1.0,defensive
836,33.44,1.0,defensive
837,33.48,1.0,defensive
838,33.52,1.0,defensive
839,33.56,1.0,defensive
840,33.6,1.0,defensive
841,33.64,1.0,defensive
842,33.68,1.0,defensive
843,33.72,1.0,defensive
844,33.76,1.0,defensive
845,33.8,1.0,defensive
846,33.84,1.0,defensive
847,33.88,1.0,defensive
848,33.92,1.0,defensive
849,33.96,1.0,defensive
850,34.0,1.0,defensive
851,34.04,1.0,defensive
852,34.08,1.0,defensive
853,34.12,1.0,defensive
854,34.16,1.0,defensive
855,34.2,1.0,defensive
856,34.24,1.0,defensive
857,34.28,1.0,defensive
858,34.32,1.0,defensive
859,34.36,1.0,defensive
860,34.4,1.0,defensive
861,34.44,1.0,defensive
862,34.48,1.0,defensive
863,34.52,1.0,defensive
864,34.56,1.0,defensive
865,34.6,1.0,defensive
866,34.64,1.0,defensive
867,34.68,1.0,defensive
868,34.72,1.0,defensive
869,34.76,1.0,defensive
870,34.8,1.0,defensive
871,34.84,1.0,defensive
872,34.88,1.0,defensive
873,34.92,1.0,defensive
891,35.64,1.0,defensive
893,35.72,1.0,defensive
894,35.76,1.0,defensive
895,35.8,1.0,defensive
896,35.84,1.0,defensive
897,35.88,1.0,defensive
898,35.92,1.0,defensive
899,35.96,1.0,defensive
900,36.0,1.0,defensive
901,36.04,1.0,defensive
902,36.08,1.0,defensive
903,36.12,1.0,defensive
904,36.16,1.0,defensive
905,36.2,1.0,defensive
906,36.24,1.0,defensive
907,36.28,1.0,defensive
908,36.32,1.0,defensive
909,36.36,1.0,defensive
910,36.4,1.0,defensive
911,36.44,1.0,defensive
912,36.48,1.0,defensive
913,36.52,1.0,defensive
914,36.56,1.0,defensive
915,36.6,1.0,defensive
916,36.64,1.0,defensive
917,36.68,1.0,defensive
918,36.72,1.0,defensive
999,39.96,1.0,defensive
